sample_index,node_address,timestamp_sec,x,y,z,magnitude_xy,magnitude_xyz,base_rssi,node_rssi
192,56384,3.06966,-0.0164355,-0.0110264,0,0.0197916,0.0197916,-44,-44
193,56384,3.07745,-0.0169234,-0.0123389,0,0.020944,0.020944,-44,-44
194,56384,3.08522,-0.0169864,-0.0119639,0,0.0207767,0.0207767,-44,-45
195,56384,3.0933,-0.0178049,-0.0101358,0,0.0204878,0.0204878,-44,-44
196,56384,3.10106,-0.017616,-0.0114795,0,0.0210262,0.0210262,-45,-45
197,56384,3.10899,-0.0179308,-0.0108389,0,0.0209522,0.0209522,-44,-45
198,56384,3.11665,-0.018041,-0.0120264,0,0.021682,0.021682,-44,-44
199,56384,3.12449,-0.0181197,-0.0130732,0,0.0223435,0.0223435,-44,-45
200,56384,3.13247,-0.0178993,-0.0113233,0,0.0211802,0.0211802,-44,-45
201,56384,3.14023,-0.0173799,-0.0115576,0,0.020872,0.020872,-44,-45
202,56384,3.14767,-0.0177105,-0.010417,0,0.0205469,0.0205469,-44,-45
203,56384,3.15528,-0.0165142,-0.0133857,0,0.0212578,0.0212578,-44,-44
204,56384,3.1631,-0.0152235,-0.0128232,0,0.0199045,0.0199045,-44,-45
205,56384,3.17093,-0.0164512,-0.0115108,0,0.0200784,0.0200784,-44,-44
206,56384,3.17887,-0.0165614,-0.00935457,0,0.0190207,0.0190207,-45,-45
207,56384,3.18662,-0.0163725,-0.0113389,0,0.0199156,0.0199156,-44,-45
208,56384,3.19455,-0.0147985,-0.012667,0,0.0194794,0.0194794,-44,-45
209,56384,3.20246,-0.0151291,-0.0108545,0,0.0186201,0.0186201,-45,-45
210,56384,3.21037,-0.0157587,-0.0108077,0,0.0191087,0.0191087,-44,-44
211,56384,3.21819,-0.0167503,-0.0104952,0,0.0197667,0.0197667,-44,-44
212,56384,3.22603,-0.0160735,-0.0126201,0,0.0204358,0.0204358,-45,-45
213,56384,3.23392,-0.016829,-0.0116514,0,0.0204688,0.0204688,-45,-45
214,56384,3.24172,-0.0167818,-0.00890145,0,0.0189964,0.0189964,-44,-45
215,56384,3.24934,-0.0179151,-0.00952644,0,0.0202905,0.0202905,-44,-45
216,56384,3.25707,-0.0173799,-0.0115889,0,0.0208893,0.0208893,-45,-45
217,56384,3.26479,-0.017191,-0.0124795,0,0.0212431,0.0212431,-44,-45
218,56384,3.27255,-0.0168447,-0.0108389,0,0.0200307,0.0200307,-45,-45
219,56384,3.28033,-0.0165299,-0.0104952,0,0.0195803,0.0195803,-45,-45
220,56384,3.28825,-0.0173799,-0.012417,0,0.0213598,0.0213598,-44,-45
221,56384,3.29619,-0.0171438,-0.0116045,0,0.020702,0.020702,-45,-45
222,56384,3.30409,-0.0178049,-0.0123857,0,0.0216892,0.0216892,-45,-44
223,56384,3.3122,-0.016829,-0.011917,0,0.0206211,0.0206211,-44,-45
224,56384,3.3198,-0.015979,-0.0121201,0,0.0200556,0.0200556,-45,-45
225,56384,3.3278,-0.0176947,-0.0099483,0,0.0202995,0.0202995,-44,-44
226,56384,3.33567,-0.0168133,-0.0129482,0,0.0212213,0.0212213,-45,-45
227,56384,3.34366,-0.0162309,-0.0139169,0,0.0213804,0.0213804,-45,-45
228,56384,3.35152,-0.0162623,-0.0107608,0,0.0195002,0.0195002,-44,-44
229,56384,3.3595,-0.0162466,-0.0102452,0,0.0192072,0.0192072,-44,-45
230,56384,3.36739,-0.0168762,-0.0108389,0,0.0200571,0.0200571,-45,-45
231,56384,3.37531,-0.0159161,-0.0130576,0,0.0205869,0.0205869,-45,-45
232,56384,3.38317,-0.0161364,-0.0101202,0,0.0190474,0.0190474,-44,-45
233,56384,3.39101,-0.0182299,-0.00858896,0,0.0201519,0.0201519,-45,-45
234,56384,3.39859,-0.0191585,-0.0104639,0,0.0218299,0.0218299,-44,-45
235,56384,3.40649,-0.0173169,-0.0129013,0,0.0215945,0.0215945,-45,-45
236,56384,3.41424,-0.0159161,-0.0117295,0,0.0197712,0.0197712,-45,-45
237,56384,3.4221,-0.0160892,-0.0103545,0,0.0191332,0.0191332,-44,-45
238,56384,3.42994,-0.0177262,-0.0116201,0,0.0211954,0.0211954,-45,-45
239,56384,3.43793,-0.0173799,-0.0130576,0,0.0217385,0.0217385,-45,-45
240,56384,3.44622,-0.0162309,-0.0135576,0,0.0211483,0.0211483,-44,-45
241,56384,3.45391,-0.0162623,-0.0108233,0,0.0195348,0.0195348,-45,-45
242,56384,3.46162,-0.0162151,-0.0107452,0,0.0194522,0.0194522,-45,-45
243,56384,3.46913,-0.0170494,-0.0118232,0,0.0207478,0.0207478,-45,-45
244,56384,3.47671,-0.0175373,-0.0119795,0,0.0212383,0.0212383,-45,-45
245,56384,3.4843,-0.015192,-0.0125889,0,0.0197301,0.0197301,-45,-46
246,56384,3.49155,-0.0161994,-0.0102139,0,0.0191506,0.0191506,-45,-46
247,56384,3.49942,-0.0163883,-0.0113701,0,0.0199463,0.0199463,-45,-46
248,56384,3.50728,-0.0180725,-0.0116514,0,0.0215028,0.0215028,-46,-46
249,56384,3.5151,-0.0169707,-0.0119482,0,0.0207549,0.0207549,-45,-46
250,56384,3.52291,-0.0149087,-0.0120264,0,0.0191547,0.0191547,-45,-46
